구인상태,사업장명,근무지역,직종,연령,성별,급여,근무시간,채용인원,근무내용,지원방법,지원서류,업종,종류,구인제목,근무형태,경력조건,접수마감
구인마감,(주)두원에이앤씨,강남구 역삼동,아파트 청소 반장,~70세,여,월168만원,,1명,"<(주)두원에이앤씨>아파트 청소원 1명청소 반장 채용, 아파트 청소 업무*평일09:00~16:00(휴게 1시간), 토09:00~12:00*월168만원(반장은 10만원 수당 별도)*계약직(12개월)*근무지 서울특별시 강남구 도곡로43길 20 (역삼동) 래미안그레이든3차아파트*여, ~70세*신주없음",*상담사 알선 02-6220-8640,,,민간,강남구 역삼동 아파트 청소 반장 모집,주6일,무관,모집 완료 시 마감
구인마감,(주)삼정기업,강남구 삼성동,건물 미화직 관리자,~69세,남,월300만원(중식비 포함),,1명,"<(주)삼정기업>건물 미화직 관리자 1명강남구청 별관 미화직 관리자 업무(미화원 지도 및 내외부 건물 관리)*경력 1년 이상*평일07:00~16:00,격주토07:00~14:00(휴게 1시간)*월300만원(중식비 포함)*계약직(12개월)*근무지 서울특별시 강남구 학동로 426 (삼성동) 강남구청 별관*남, ~69세",*상담사 알선 02-6220-8640,,,민간,강남구 삼성동 건물 미화직 관리자 모집,,경력,모집 완료 시 마감
구인마감,(주)아이원서비스,마포구 신수동,아파트 미화반장,~70세,여,월113만원,09:00~16:00,1명,"<(주)아이원서비스>아파트 미화반장 1명아파트 내 청소 및 관리업무 전반(2개동 260세대)*주5일 09:00~16:00(휴게 1시간)*월113만원*계약직(3개월)*근무지 서울특별시 마포구 독막로28길 7 (신수동) 성원아파트*여, ~70세",*상담사 알선 02-6220-8640,,,민간,마포구 신수동 아파트 미화반장 모집,주5일,무관,모집 완료 시 마감
구인마감,(주)듀델코리아,관악구 봉천동,아파트 청소원,~70세,여,월163만원,,2명,"<(주)듀델코리아>아파트 청소원 2명아파트 단지 내 청소 업무*평일09:00~16:00, 토09:00~12:00(휴게시간 12:00~13:00)*월163만원*계약직(시간제)*근무지 서울특별시 관악구 참숯1길 19 (봉천동) e편한세상서울대입구2차아파트*여, ~70세*복지카드 소지자 우대",*상담사 알선 02-6220-8640,,,민간,관악구 봉천동 아파트 청소원 모집,,무관,모집 완료 시 마감
구인마감,(주)경진이앤지,강남구 대치동,아파트 경비원,~68세,남,월243만원,,1명,"<(주)경진이앤지>아파트 경비원 1명아파트 경비 업무*복지카드소지 필수, 경비교육 필수, 경력1년 이상 필수*격일06:30~익일06:30*월243만원*상용직*근무지 서울특별시 강남구 영동대로 230 (대치동) 대치우성1차아파트*남, 60세~68세",*상담사 알선 02-6220-8640,,,민간,강남구 대치동 아파트 경비원 모집,격일,무관,모집 완료 시 마감
구인마감,타워맨션아파트,용산구 이촌동,아파트 청소원,~70세,여,월87만5천원,09:00~16:00,1명,"<타워맨션아파트>아파트 청소원 1명아파트 청소 업무*주3일 월, 수, 금 09:00~16:00*월875,000원*계약직(3개월) / 기존근무자 휴직으로 인한 계약직*근무지 서울특별시 용산구 이촌로46길 2 (이촌동) 타워맨션아파트*여, 55세~70세",*상담사 알선 02-6220-8640,,,민간,용산구 이촌동 아파트 청소원 모집,주3일,무관,모집 완료 시 마감
구인마감,제일티엠에스 주식회사,서초구 반포동,건물 청소원,~70세,여,"시급 9,620원",,1명,"<제일티엠에스 주식회사>건물 청소원 1명교회 내무 청소 업무*주5일 07:30~14:30(휴게 1시간)*시급9,860원*계약직*근무지 서울특별시 서초구 사평대로 253 (반포동)  산성교회*여, ~70세",*상담사 알선 02-6220-8640,,,민간,서초구 반포동 건물 청소원 모집,주5일,무관,모집 완료 시 마감
구인마감,주식회사 에스지세콤,강남구 논현동,빌딩 청소원,~70세,여,월155만원,06:30~14:30,1명,"<주식회사 에스지세콤>빌딩 청소원 1명빌딩 공용부분 청소 업무*평일06:30~14:30, 토07:00~09:00*월155만원*계약직(12개월)*근무지 서울특별시 강남구 도산대로 114 (논현동) 수일빌딩*여, ~70세",*상담사 알선 02-6220-8640,,,민간,강남구 논현동 빌딩 청소원 모집,,무관,모집 완료 시 마감
구인마감,세정종합개발,서대문구 북아현동,대학교 청소원,~70세,여,"시급9,620원",06:00~15:00,1명,"<세정종합개발>대학교 청소원 1명추계예술대학교 청소 업무 *주5일 06:00~15:00(휴게 4시간)*시급9620원 / 주휴수당 별도 지급*인근 거주자 필수*근무지 서울특별시 서대문구 북아현로11가길 7 (북아현동)  추계예술대학교*여, ~70세*경력 1년 이상*방학기간(1,2월/7,8월)에는 휴게 5시간",*상담사 알선 02-6220-8640,,,민간,서대문구 북아현동 대학교 청소원 모집,주5일,경력,모집 완료 시 마감
구인마감,국제경보산업(주),동작구 신대방동,아파트 경비원,~72세,남,월234만원,,1명,"<국제경보산업(주)>아파트 경비원 1명아파트 경비 업무*격일06:00~익일06:00(휴게 주간 4.5h, 야간 5h)*월234만원*계약직(12개월)*근무지 서울특별시 동작구 보라매로 70 (신대방동) 보라매이편한세상*남, ~72세",*상담사 알선 02-6220-8640,,,민간,동작구 신대방동 아파트 경비원 모집,격일,무관,모집 완료 시 마감
구인마감,태영건물종합관리 주식회사,서대문구 남가좌동,아파트 외곽 주차장 청소원,~65세,남,월171만원,08:00~15:30,1명,"<태영건물종합관리 주식회사>아파트 외곽 주차장 청소원 1명아파트 외곽 주차장 청소 업무(탑승식 청소차량 운전 가능자)*평일08:00~15:30(휴게 1.5h), 토08:30~11:30*월171만원*계약직(12개월)*근무지 서울특별시 서대문구 가재울미래로 2 (남가좌동)*남, ~65세",*상담사 알선 02-6220-8640,,,민간,서대문구 남가좌동 아파트 외곽 주차장 청소원 모집,,무관,모집 완료 시 마감
구인마감,(주)써밋자산관리,중구 장충동,건물 영선기사,~70세,남,월300만원,10:00~21:00,1명,"<(주)써밋자산관리>건물 영선기사(전기, 소방) 1명전기, 소방 영선 업무*직무관련 경력자 우대(자격증 무관하나, 영선 관련 업무 경험 있으신 분)*주5일10:00~21:00(월, 화 휴무 / 수요일~일요일 근무)*월300만원*계약직(12개월)*근무지 서울특별시 중구 장충단로 72 (장충동2가) 한국자유총연맹*남, ~70세",*상담사 알선 02-6220-8640,,,민간,중구 장충동 건물 영선기사 모집,주5일,무관,모집 완료 시 마감
구인마감,수유이테크밸리,강북구 수유동,오피스텔 설비주임,~72세,남,월220만원,,1명,"<수유이테크밸리>오피스텔 설비 주임 1명*오피스텔 시설 점검 등 전반적인 관리 업무*격일07:00~익일07:00(휴게 10시간)*월220만원*자격증 무관, 3년 이상 경력 필수*근무지 서울특별시 강북구 도봉로77길 6 (수유동)  수유동*남, ~72세",*상담사 알선 02-6220-8640,,,민간,강북구 수유동 오피스텔 설비주임 모집,격일,경력,모집 완료 시 마감
구인마감,(주)한빛종합관리,성동구 옥수동,아파트 시설관리원,~65세,남,월270만원,,1명,"<(주)한빛종합관리>아파트 시설관리원 1명아파트 시설관리 업무*경력 1년 이상*격일07:30~익일07:30*월270만원*상용직*근무지 서울특별시 성동구 매봉길 17 (옥수동) 래미안옥수리버젠아파트*남, ~65세",*상담사 알선 02-6220-8640,,,민간,성동구 옥수동 아파트 시설관리원 모집,격일,경력,모집 완료 시 마감
구인마감,(주)맥서브,광진구 자양동,빌딩 청소원,~68세,여,월160만원,,1명,"<(주)맥서브>건물 청소원 1명빌딩 내부 청소(지하1층, 지상 1,2층)*경력 1년 이상 우대 *주5일16:00~22:00(주2일 휴무), 스케줄 근무(주말 포함)*월160만원*계약직*근무지 서울특별시 광진구 아차산로30길 26 (자양동) 몰오브케이빌딩*여, ~68세",*상담사 알선 02-6220-8640,,,민간,광진구 자양동 빌딩 청소원 모집,주5일,경력,모집 완료 시 마감
구인마감,덕암빌딩,동대문구 장안동,빌딩 경비원,~70세,남,월190만원,,1명,"<덕암빌딩>빌딩 경비원 1명입주자 및 주차관리, 야간 경비, 건물 주변 청소 등(야간22시 전후 특별한 경우를 제외하고 출입문 봉쇄 후 취침, 휴식)*운전면허 1종 보통 필수, 답십리동, 장안동 거주자 우대*격일08:00~익일08:00*월190만원*상용직*근무지 서울특별시 동대문구 한천로2길 16 (장안동) 덕암빌딩*남, 65세~70세",*상담사 알선 02-6220-8640,,,민간,동대문구 장안동 빌딩 경비원 모집,격일,무관,모집 완료 시 마감
구인마감,인덕종합관리(주),서대문구 홍제동,아파트 청소원,~70세,여,월151만원,,1명,"<인덕종합관리(주)>아파트 청소원 1명*아파트 청소 업무, 신주없음*주6일 평일08:30~15:00토요일08:30~11:30*월151만원*계약직(12개월)*근무지 서울특별시 서대문구 세검정로 134 (홍제동, 유원하나아파트)*여, ~70세",*상담사 알선 02-6220-8640,,,민간,서대문구 홍제동 아파트 청소원 모집,주6일,무관,모집 완료 시 마감
구인마감,웰라이빌주상복합관리단,강서구 화곡동,아파트 경비원,~70세,남,월190만원,,1명,"<웰라이빌주상복합관리단>아파트 경비원 1명*아파트 경비 업무*격일 06:30~익일06:30*월190만원*계약직(12개월)*근무지 서울특별시 강서구 강서로5나길 104 (화곡동) 웰라이빌아파트*남, ~70세, 경비교육이수증 필수",*상담사 알선 02-6220-8640,,,민간,강서구 화곡동 아파트 경비원 모집,격일,무관,모집 완료 시 마감
구인마감,대동화물,중구 장충동,화물차 운전원,~73세,남,205만원 이상,,2명,"<대동화물>화물운송 운전원 2명 대형차 화물운송 업무*화물운송종사자, 자동차운전면허1종대형 필수*운송구간: 서울~이천~대구, 서울~대구(로젠택배)*주5일21:00~09:00 야간운송, 화물상하차 시간에 따라 조정됨*월205만원이상, 협의 가능*근무지 서울특별시 중구 장충단로 72 (장충동2가)  한국자유총연맹*남, ~73세",*상담사 알선 02-6220-8640,,,민간,중구 장충동 화물차 운전원 모집,주5일,무관,모집 완료 시 마감
구인마감,케이원에코텍(주),서울시내,기술영업원,~65세,남,월250~300만원,,2명,"<케이원에코텍(주)>기술영업원 2명*수질정화장치(여과기)를 수영장 및 관공서에 소개하는 영업*문서작성 가능한 자*주5일 09:00~18:00*월250~300만원(인센티브별도)*상용직*근무지 경기도 하남시 하남대로 788 (신장동) 6층*남, ~65세, 경력자 우대",*상담사 알선 02-6220-8640,,,민간,서울시내 기술영업원 모집,주5일,무관,모집 완료 시 마감
구인마감,현대개발,서초구 양재동,아파트 청소원,~72세,여,월142만원,09:00~15:30,1명,"<현대개발>아파트 청소원 1명아파트 청소 업무(계단, 복도 등)*평일09:00~15:30, 격주토09:00~12:00*월142만원*계약직(6개월)*근무지 서울특별시 서초구 강남대로 224 (양재동) 양재한신휴플러스*여, 61세~72세",*상담사 알선 02-6220-8640,,,민간,서초구 양재동 아파트 청소원 모집,,무관,모집 완료 시 마감
구인마감,위드커,구로구 구로동,건물 청소원,~65세,남,월184만원,,1명,"<위드커>건물 청소원 1명*마트 내부 건물 청소 업무*주5일 09:30~06:30 (휴게 2시간) *평일 휴무이며 주말 근무 함 *월184만원*상용직*근무지 서울특별시 구로구 새말로 97 14층 002호 (구로동, 신도림테크노마트)*남, ~65세, 경력 6개월 이상",*상담사 알선 02-6220-8640,,,민간,구로구 구로동 건물 청소원 모집,주5일,무관,모집 완료 시 마감
구인마감,남인개발(주),동대문구 장안동,건물 청소원,~70세,무관,월134만원,,2명,"<남인개발(주)>건물 청소원 2명*병원 미화 업무*복지카드 소지자 우선, 아침, 점심 식사제공*주6일 평일06:00~14:00 (휴게 3시간)토요일06:00~12:00*월134만원*계약직(시간제) *근무지 서울특별시 동대문구 장한로 143(장안동)  코리아병원*성별무관, ~70세",*상담사 알선 02-6220-8640,,,민간,동대문구 장안동 건물 청소원 모집,주6일,무관,모집 완료 시 마감
구인마감,(주)재우씨엔씨,서초구 서초동,실내 청소원,~70세,무관,월115만원,,1명,"<(주)재우씨엔씨>실내 청소원 1명서이도서관, 잠원도서관 2곳 청소 업무*각 도서관 근무시간 1시간,  근무시간 3시간 30분(1시간 이동시간 포함)*주6일평일 08:00~11:30토요일 08:00~11:30*월115만원*계약직(3개월)*근무지 서울특별시 서초구 서초대로70길 51 (서초동) 서이도서관, 잠원도서관 *남녀무관, ~70세",*상담사 알선 02-6220-8640,,,민간,서초구 서초동 실내 청소원 모집,,무관,모집 완료 시 마감
구인마감,마천신동아아파트관리사무소,송파구 마천동,아파트 경비원,~70세,남,월220만원,,1명,"<마천신동아아파트관리사무소>아파트 경비원 1명*아파트 경비 업무*경비신임교육이수증 필수*주6일 07:00~익일07:00 (휴게 10시간)*월220만원*상용직 *근무지 서울특별시 송파구 성내천로21길 11(마천동)  마천신동아아파트*남, ~70세",*상담사 알선 02-6220-8640,,,민간,송파구 마천동 아파트 경비원 모집,격일,무관,모집 완료 시 마감
구인마감,(주)디에이로드,서울시내,화물차 운전원,~65세,남,"월300만원, 면접 후 협의",,1명,"<(주)디에이로드 >화물차 운전원 1명*화물차 운전, 사업장폐기물 수거, 상하차 업무*주6일 08:00~17:00 / 토요일 08:00~12:00*월300만원, 면접 후 협의*상용직 *근무지 서울특별시 종로구 종로 51*남, ~65세, 1톤 재활용품 운전가능자*건강하신 분 지원",*상담사 알선 02-6220-8640,,,민간,서울시내 화물차 운전원 모집,주6일,무관,모집 완료 시 마감
구인마감,면목두산아파트입주자대표회의,중랑구 면목동,아파트 관리소장,65세~70세,남,월230만원,,1명,"<면목두산아파트입주자대표회의 >아파트 관리소장 1명*경리 및 아파트 관리 업무*소방안전관리자 2급이상 소지자(필수), 컴퓨터가능자*주5일 08:30~17:30*월230만원*상용직 *근무지 서울특별시 중랑구 답십리로77길 139 (면목동) 면목두산아파트*남, 65세~70세, 이력서, 자기소개서, 경력증명서",*상담사 알선 02-6220-8640,,,민간,중랑구 면목동 아파트 관리소장 모집,주5일,무관,모집 완료 시 마감
구인마감,새롬씨큐리티주식회사,마포구 상암동,아파트 경비원,~72세,남,월206만원,,1명,"<새롬씨큐리티주식회사>아파트 경비원 1명*화재 및 도난방지, 질서유지 등 업무*격일06:00~익일06:00(휴게 10.5시간 이상)*월206만원*계약직(3개월)  *근무지 서울특별시 마포구 월드컵북로 502 -7 (상암동) 상암월드컵파크12단지*남, ~72세, 경비신임교육이수증 필수",*상담사 알선 02-6220-8640,,,민간,마포구 상암동 아파트 경비원 모집,격일,무관,모집 완료 시 마감
구인마감,(주)두원에이앤씨,광진구 광장동,아파트 외곽 청소원,~70세,남,월142만원,,1명,"<(주)두원에이앤씨>아파트 외곽 청소원 1명아파트 화단정리 및 주차장(지하1~3층, 2명이 작업) 등 청소*평일9:00~15:30,토09:00~12:00*월142만원*계약직(시간제)*근무지 서울특별시 광진구 아차산로 549 (광장동) 광장현대파크빌10차아파트*남, ~70세",*상담사 알선 02-6220-8640,,,민간,광진구 광장동 아파트 외곽 청소원 모집,,무관,모집 완료 시 마감
구인마감,주식회사 한가람,금천구 가산동,건물 경비원,~69세,남,월205만원,,2명,"<주식회사 한가람 >건물 경비원 2명*공용부분 보안담당 업무*격일07:00~익일07:00(휴게 12.5시간)*월205만원*계약직(12개월)  *근무지 서울특별시 금천구 가산디지털1로 88 (가산동)  IT프리미어타워*남, ~69세",*상담사 알선 02-6220-8640,,,민간,금천구 가산동 건물 경비원 모집,격일,무관,모집 완료 시 마감
구인마감,(주)시앤지탑,종로구 소격동,건물 청소원,~62세,여,월233만원,,1명,"<(주)시앤지탑>건물 청소원 1명*미술관 내부 청소 업무*주6일 평일 07:30~16:00(휴게 1.5시간)*월233만원, 중식제공*상용직  *근무지 서울특별시 종로구 삼청로 54 국제갤러리*여, ~62세*토,일,월 중 3명이 교대로 1일 휴무 / 월1회 월차 제공",*상담사 알선 02-6220-8640,,,민간,종로구 소격동 건물 청소원 모집,주6일,무관,모집 완료 시 마감
구인마감,(주)듀델코리아,종로구 관훈동,건물 청소원,~75세,여,월139만원,,1명,"<(주)듀델코리아>건물 청소원 1명*갤러리 건물 청소 업무*주6일 평일 07:00~15:00(휴게 3시간)토요일 07:00~12:00(휴게 2시간)*월139만원*계약직(3개월) *근무지 서울특별시 종로구 인사동5길 26 (관훈동)*여, ~75세",*상담사 알선 02-6220-8640,,,민간,종로구 관훈동 건물 청소원 모집,주6일,무관,모집 완료 시 마감
구인마감,대성스카이렉스,종로구 견지동,아파트 청소원,~67세,남,월173만원,,1명,"<대성스카이렉스 주상복합아파트입주자회의>건물 청소원 1명*청소 업무*격주 평일 08:00~15:00 / 토요일 08:00~12:00*월173만원*상용직 *근무지 서울특별시 종로구 삼봉로 95 (견지동) *남, ~67세",*상담사 알선 02-6220-8640,,,민간,종로구 견지동 아파트 청소원 모집,,무관,모집 완료 시 마감
구인마감,천하종합관리(주),강남구 역삼동,건물 청소원,무관,남,월185만원,,1명,"<천하종합관리(주)>건물 청소원 1명*건물 내,외부, 분리수거 청소 업무*주5일 08:00~16:00*월185만원*계약직(12개월)*근무지 서울특별시 강남구 언주로 506(역삼동) 역삼 아르누보씨티 *남, 연령무관",*상담사 알선 02-6220-8640,,,민간,강남구 역삼동 건물 청소원 모집,주5일,무관,모집 완료 시 마감
구인마감,(주)범주,영등포구 양평동,아파트 청소원,~73세,여,월121만원,,1명,"<(주)범주>아파트 청소원 1명*아파트 내 청소 업무*주5일 09:00~14:30*월121만원*상용직*근무지 서울특별시 영등포구 영등포로12길 8  *여, ~73세",*상담사 알선 02-6220-8640,,,민간,영등포구 양평동 아파트 청소원 모집,주5일,무관,모집 완료 시 마감
구인마감,늘편한요양센터,강동구 천호동,요양보호사,~69세,여,월225만원,,1명,"<늘편한요양센터>요양보호사 1명*입소 어르신 전반적 케어 업무*하루 근무 후 이틀 휴일 08:00~ 익일08:00*월225만원*상용직 *근무지 서울특별시 강동구 구천면로 318 (천호동)  4층*여, ~69세*요양보호사1급 필수, 중식제공",*상담사 알선 02-6220-8640,,,민간,강동구 천호동 요양보호사 모집,,무관,모집 완료 시 마감
구인마감,주식회사 씨엠자산,서초구 우면동,아파트 외곽 청소원,~73세,남,월145만원,,1명,"<주식회사 씨엠자산>아파트 외곽 청소원 1명*아파트 분리수거장, 단지내 청소, 지하주차장 청소 업무*주6일 09:00~15:00 / 토요일 09:00~11:00*월145만원*계약직(6개월)*근무지 서울특별시 서초구 형촌길 35 (우면동)  서초네이처힐1단지*남, ~73세",*상담사 알선 02-6220-8640,,,민간,서초구 우면동 아파트 외곽 청소원 모집,주6일,무관,모집 완료 시 마감
구인마감,주식회사 삼영기업,중구 필동,빌딩 청소원,~70세,무관,월123만원,06:00~13:00,1명,"<주식회사 삼영기업>빌딩 청소원 1명빌딩 내부 청소*주5일06:00~13:00*월123만원*계약직(11개월)*근무지 서울특별시 중구 퇴계로 187 (필동1가)*성별무관, ~70세*돌돌이 사용 가능자 우대, 청소 반장 경험자 우대(반장수당 별도)",*상담사 알선 02-6220-8640,,,민간,중구 필동 빌딩 청소원 모집,주5일,무관,모집 완료 시 마감
구인마감,(사)서울시척수장애인협회,서초구 양재동,장애인활동지원사,무관,무관,"시급11,840원",,1명,"<(사)서울시척수장애인협회>장애인활동지원사 1명*가사활동(취사, 청소), 신체활동(화장실 이용 보조, 체위변경 등), 외출 시 동행*주6일 08:00~22:00*시급 11,840원*상용직*근무지 서울특별시 서초구 양재동*성별 무관, 나이 무관*활동지원사 교육 이수증 필수, 12월 부터 근무 가능하신 분",*상담사 알선 02-6220-8640,,,민간,서초구 양재동 장애인활동지원사 모집,주6일,무관,모집 완료 시 마감
구인마감,서울특별시시각장애인연합회,서초구 방배동,장애인활동지원사,무관,여,"시급 12,100원",12:00~15:00,1명,"<서울특별시시각장애인연합>장애인 활동보조원 1명*활동보조 및 간단한 가사활동 업무*60대 남자 시각장애인*주6일 12:00~15:00*시급 12,100원*시간제*근무지 서울특별시 서초구 방배천로32길 9 (방배동)*여, 연령무관",*상담사 알선 02-6220-8640,,,민간,서초구 방배동 장애인활동지원사 모집,주6일,무관,모집 완료 시 마감
구인마감,엘슨개발,강남구 삼성동,영선·주차관리원,~65세,남,월190만원,,1명,"<엘슨개발>영선·주차관리원 1명  시설관리(보일러) 영선업무, 주차 관리*주6일, 오전근무, 오후근무 일주일씩 순환근무7-15시(오전근무), 15-22시(오후근무) *월190만원*상용직*근무지 서울특별시 강남구 봉은사로 628 (삼성동)*남, ~65세",*상담사 알선 02-6220-8640,,,민간,강남구 삼성동 영선·주차관리원 모집,주6일,무관,모집 완료 시 마감
구인마감,(주)현대케터링시스템,송파구 풍납동,병원 식당 단체급식 보조원,~65세,여,월214만원,,10명,"<(주)현대케터링시스템>병원 환자식당 단체급식 보조원 10명병원 환자식당 급식 보조, 설거지 등*주5일 격일교대(05:30~14:45/11:00~20:00)*월214만원*계약직(12개월)*근무지 서울특별시 송파구 올림픽로43길 88 (풍납동) 서울아산병원*여, ~65세",*상담사 알선 02-6220-8640,,,민간,송파구 풍납동 병원 식당 단체급식 보조원 모집,주5일,무관,모집 완료 시 마감
구인마감,서방빌딩,서초구 양재동,빌딩 청소원,~65세,여,월90만원,07:00~14:00,1명,"<서방빌딩>빌딩 청소원 1명건물 청소(공용부문 위주: 복도, 화장실 등)*주5일 07:00~11:00(근무시간 조정가능, 휴게 30분)*월90만원*계약직(12개월)*근무지 서울특별시 서초구 바우뫼로 144 (양재동) 서방빌딩*여, ~65세",*상담사 알선 02-6220-8640,,,민간,서초구 양재동 빌딩 청소원 모집,주5일,무관,모집 완료 시 마감
구인마감,(주)인투빌,용산구 한강로동,건물 관리원,~68세,남,월247만원,,1명,"<(주)인투빌>건물 관리 소장 1명*신축빌딩 전반적인 관리 업무*시설관리자격증 소지자 우대(소방, 기계, 전기, 가스 등) *주5일 09:00~18:00*월247만원*계약직 (12개월)*근무지 서울특별시 용산구 한강대로52길 25 -8 (한강로1가)*남, ~68세, 경력 2년 이상",*상담사 알선 02-6220-8640,,,민간,용산구 한강로동 건물 관리원 모집,주5일,경력,모집 완료 시 마감
구인마감,대한예수교장로회기쁜소식교회,강남구 도곡동,교회 경비원,~69세,남,월250만원,,1명,"<대한예수교장로회기쁜소식교회>교회 경비원 1명교회 시설 관리, 교회 차량 출입 관리, 경비원 업무 일체*격일06:00~익일06:00(주4일 격일근무 /1조 1교대)*월250만원~270만원(협의)*상용직*근무지 서울특별시 강남구 논현로26길 46-11 (도곡동) 현우빌딩*남, ~69세",*상담사 알선 02-6220-8640,,,민간,강남구 도곡동 교회 경비원 모집,격일,무관,모집 완료 시 마감
구인마감,유성악세사리상가운영회,중구 남창동,상가 경비원,~70세,남,월187만원,,1명,"<유성악세사리상가운영회>상가 경비원 1명상가 경비 업무 및 간단한 청소 업무*경비교육 이수증 무관*격일07:00~익일07:00*월187만원*상용직*근무지 서울특별시 중구 남대문시장4길 28-9 (남창동) 유성악세사리상가*남, ~70세",*상담사 알선 02-6220-8640,,,민간,중구 남창동 상가 경비원 모집,격일,무관,모집 완료 시 마감
구인마감,대흥공신(주),강남구 역삼동,빌딩 경비원,~70세,남,월204만원,,1명,"<대흥공신(주)>빌딩 경비원 1명빌딩 경비 업무*격일06:00~익일06:00(휴게11시간)*월204만원*상용직*근무지 서울특별시 강남구 역삼로 165 (역삼동)*남, 60세~70세",*상담사 알선 02-6220-8640,,,민간,강남구 역삼동 빌딩 경비원 모집,격일,무관,모집 완료 시 마감
구인마감,동진종합시스템(주),노원구 월계동,아파트 청소원,~73세,여,월112만원,,1명,"<동진종합시스템(주)>아파트 청소원 1명아파트 공용부문 청소*평일09:00~13:00,토09:00~12:00*월112만원*계약직(3개월)*복지카드 소지자 우대*근무지 서울특별시 노원구 마들로 127 (월계동) 월계삼호4차아파트*여, ~73세",*상담사 알선 02-6220-8640,,,민간,노원구 월계동 아파트 청소원 모집,,무관,모집 완료 시 마감
구인마감,역삼아르누보시티관리단,강남구 역삼동,호텔 청소원,~75세,남,월184만원,08:00~16:00,1명,"<역삼아르누보시티관리단>호텔 청소원 1명호텔 카페트 청소, 분리수거 등*주5일 08:00~16:00(휴게 1시간)*월184만원*계약직*근무지 서울특별시 강남구 언주로 506 (역삼동) 역삼아르누보씨티 호텔*남, ~75세",*상담사 알선 02-6220-8640,,,민간,강남구 역삼동 호텔 청소원 모집,주5일,무관,모집 완료 시 마감
구인마감,(주)인투빌,용산구 문배동,주상복합 청소원,~68세,여,월149만원,,1명,"<(주)인투빌>주상복합 청소원주상복합 청소 업무*평일08:00~16:00, 격주토07:30~12:00, 6주에 1회 일요일 08:00~12:00 근무*월149만원*계약직(12개월)*근무지 서울특별시 용산구 백범로 341 (원효로1가) 리첸시아용산*여, ~68세*경력자 우대",*상담사 알선 02-6220-8640,,,민간,용산구 문배동 주상복합 청소원 모집,,무관,모집 완료 시 마감
구인마감,그린피아오피스텔,관악구 봉천동,오피스텔 관리소장,~69세,남,월202만원,09:00~18:00,1명,"<그린피아오피스텔>오피스텔 관리소장 1명오피스텔 계약갱신 및 이사, 주차기, 엘레베이터 관리 등 업무- 주차기, 엘레베이터 관리업체는 별도로 있으니 고장시 연락 등으로 조치를 취하면 됩니다.- 휴일에도 세입자 이사, 주차기 또는 엘레베이터 고장 시 출근해야 합니다.- 근무지(그린피아 오피스텔) 인근 거주자 희망합니다.*주5일09:00~18:00(휴게 평균 3시간) 현장 상황에 따라 퇴근시간 등 조정될 수 있습니다. 또한, 토요일에도 계약 있을 경우 출근할 수 있습니다.*월202만원*상용직*근무지 서울특별시 관악구 관악로17길 25 (봉천동)*남, 58세~69세",*상담사 알선 02-6220-8640,,,민간,관악구 봉천동 오피스텔 관리소장 모집,주5일,무관,모집 완료 시 마감
구인마감,주식회사 씨엔개발,마포구 성산동,오피스텔 건물관리원,~66세,남,월221만원,,1명,"<주식회사 씨엔개발>오피스텔 건물관리원 1명오피스텔 경비 및 소방안전관리, 기계식 주차관리, 분리수거*격일 08:00~익일 08:00*월221만원*계약직(12개월)*근무지 서울특별시 마포구 모래내로1길 9 (성산동) 마포 클레세오피스텔*남, ~66세",*상담사 알선 02-6220-8640,,,민간,마포구 성산동 오피스텔 건물관리원 모집,격일,무관,모집 완료 시 마감
구인마감,(주)아이원서비스,은평구 진관동,아파트 경비원,~69세,남,월230만원,,1명,"<(주)아이원서비스>아파트 경비원 1명아파트 경비 업무*격일08:00~익일08:00(휴게 주간4시간, 야간5.5시간)*월230만원*상용직*근무지 서울특별시 은평구 진관4로 78-38 (진관동) 은평지엘테라스*남, ~69세",*상담사 알선 02-6220-8640,,,민간,은평구 진관동 아파트 경비원 모집,격일,무관,모집 완료 시 마감
구인마감,(주)이데아그룹,영등포구 신길동,아파트 경비원,~70세,남,월208만원,,2명,"<(주)이데아그룹>아파트 경비원 2명아파트 경비 업무*격일 06:00~익일06:00(휴게 주간4시간, 야간6시간)*월208만원*계약직(3개월)*경비교육 필수, 복지카드 우대*근무지 서울특별시 영등포구 가마산로 575 (신길동) 신길한성아파트*남, ~70세",*상담사 알선 02-6220-8640,,,민간,영등포구 신길동 아파트 경비원 모집,격일,무관,모집 완료 시 마감
구인마감,두산종합관리(주),강남구 신사동,건물 경비원,~65세,남,월240만원,,1명,"<두산종합관리(주)>건물 경비원 1명*주차관리 및 보안 경비 업무*격일 07:00~익일07:00*월240만원*상용직*근무지 서울특별시 강남구 언주로 867 (신사동) 뉴서울빌딩*남, ~65세",*상담사 알선 02-6220-8640,,,민간,강남구 신사동 건물 경비원 모집,격일,무관,모집 완료 시 마감
구인마감,(주)효명종합관리,동작구 상도동,아파트 청소원,~73세,여,월163만원,,1명,"<(주)효명종합관리 >아파트 청소원 1명*계단, 복도 청소 업무*주6일 평일09:00~16:00 / 토요일09:00~12:00*월163만원*계약직(12개월)*근무지 서울특별시 동작구 상도로53길 8 (상도동) 래미안3차 아파트*여, ~73세, 복지카드 소지자 우대",*상담사 알선 02-6220-8640,,,민간,동작구 상도동 아파트 청소원 모집,주6일,무관,모집 완료 시 마감
